Step,Training Loss,reward,reward_std,completions / mean_length,completions / min_length,completions / max_length,completions / clipped_ratio,completions / mean_terminated_length,completions / min_terminated_length,completions / max_terminated_length,kl,rewards / function_works / mean,rewards / function_works / std,rewards / no_cheating / mean,rewards / no_cheating / std,rewards / strategy_succeeds / mean,rewards / strategy_succeeds / std
52,0.000383,8.200000,0.000000,224.750000,219.000000,229.000000,0.000000,224.750000,219.000000,229.000000,0.383250,1.000000,0.000000,1.000000,0.000000,6.200000,0.000000
53,0.000242,32.000000,0.000000,224.750000,222.000000,230.000000,0.000000,224.750000,222.000000,230.000000,0.242424,1.000000,0.000000,1.000000,0.000000,30.000000,0.000000
54,0.000662,5.400000,5.600000,228.000000,219.000000,251.000000,0.000000,228.000000,219.000000,251.000000,0.662439,0.250000,1.500000,0.500000,1.000000,4.650000,3.100000
55,0.000293,5.250000,5.500000,222.000000,212.000000,229.000000,0.000000,222.000000,212.000000,229.000000,0.293273,0.250000,1.500000,0.500000,1.000000,4.500000,3.000000
56,0.000166,7.800000,0.000000,224.000000,223.000000,227.000000,0.000000,224.000000,223.000000,227.000000,0.165967,1.000000,0.000000,1.000000,0.000000,5.800000,0.000000
57,0.000120,32.000000,0.000000,228.250000,226.000000,229.000000,0.000000,228.250000,226.000000,229.000000,0.120271,1.000000,0.000000,1.000000,0.000000,30.000000,0.000000
58,0.000586,7.400000,0.000000,234.750000,223.000000,257.000000,0.000000,234.750000,223.000000,257.000000,0.586299,1.000000,0.000000,1.000000,0.000000,5.400000,0.000000
59,0.000130,8.600000,0.000000,225.500000,223.000000,227.000000,0.000000,225.500000,223.000000,227.000000,0.129661,1.000000,0.000000,1.000000,0.000000,6.600000,0.000000
60,0.000438,6.900000,3.000000,231.750000,225.000000,246.000000,0.000000,231.750000,225.000000,246.000000,0.437855,1.000000,0.000000,1.000000,0.000000,4.900000,3.000000
61,0.000510,8.200000,0.000000,234.250000,227.000000,253.000000,0.000000,234.250000,227.000000,253.000000,0.510285,1.000000,0.000000,1.000000,0.000000,6.200000,0.000000
62,0.000114,7.800000,0.000000,228.000000,227.000000,229.000000,0.000000,228.000000,227.000000,229.000000,0.113501,1.000000,0.000000,1.000000,0.000000,5.800000,0.000000
63,0.000487,5.400000,3.600000,248.000000,227.000000,265.000000,0.000000,248.000000,227.000000,265.000000,0.487396,1.000000,0.000000,1.000000,0.000000,3.400000,3.600000
64,0.000140,7.200000,0.000000,226.000000,222.000000,228.000000,0.000000,226.000000,222.000000,228.000000,0.139729,1.000000,0.000000,1.000000,0.000000,5.200000,0.000000
65,0.000183,32.000000,0.000000,230.000000,227.000000,233.000000,0.000000,230.000000,227.000000,233.000000,0.182816,1.000000,0.000000,1.000000,0.000000,30.000000,0.000000
66,0.000310,8.600000,0.000000,231.250000,227.000000,239.000000,0.000000,231.250000,227.000000,239.000000,0.310375,1.000000,0.000000,1.000000,0.000000,6.600000,0.000000
67,0.000686,6.700000,3.000000,245.000000,227.000000,270.000000,0.000000,245.000000,227.000000,270.000000,0.685829,1.000000,0.000000,1.000000,0.000000,4.700000,3.000000
68,0.000139,8.000000,0.000000,228.750000,227.000000,230.000000,0.000000,228.750000,227.000000,230.000000,0.138966,1.000000,0.000000,1.000000,0.000000,6.000000,0.000000
69,0.001172,7.099999,2.600000,247.250000,225.000000,306.000000,0.000000,247.250000,225.000000,306.000000,1.171982,1.000000,0.000000,1.000000,0.000000,5.100000,2.600000
70,0.000536,7.099999,2.600000,233.750000,225.000000,251.000000,0.000000,233.750000,225.000000,251.000000,0.536153,1.000000,0.000000,1.000000,0.000000,5.100000,2.600000
71,0.000215,7.600000,0.000000,228.250000,225.000000,230.000000,0.000000,228.250000,225.000000,230.000000,0.215158,1.000000,0.000000,1.000000,0.000000,5.600000,0.000000
72,0.000478,-7.650000,16.642416,227.250000,217.000000,231.000000,0.000000,227.250000,217.000000,231.000000,0.478073,-0.500000,1.732051,-9.500000,12.124355,2.350000,3.125700
73,0.000271,6.750000,2.900000,224.250000,222.000000,226.000000,0.000000,224.250000,222.000000,226.000000,0.270663,1.000000,0.000000,1.000000,0.000000,4.750000,2.900000
74,0.000234,8.000000,0.000000,222.000000,221.000000,225.000000,0.000000,222.000000,221.000000,225.000000,0.233899,1.000000,0.000000,1.000000,0.000000,6.000000,0.000000
75,0.000278,8.000000,0.000000,221.250000,218.000000,226.000000,0.000000,221.250000,218.000000,226.000000,0.277821,1.000000,0.000000,1.000000,0.000000,6.000000,0.000000
76,0.000155,7.400000,0.000000,221.000000,221.000000,221.000000,0.000000,221.000000,221.000000,221.000000,0.154813,1.000000,0.000000,1.000000,0.000000,5.400000,0.000000
77,0.000266,7.800000,0.000000,222.750000,218.000000,228.000000,0.000000,222.750000,218.000000,228.000000,0.266317,1.000000,0.000000,1.000000,0.000000,5.800000,0.000000
